Date,Close,HMM_Regime,HMM_Prob_0,HMM_Prob_1,HMM_Prob_2
2005-08-05,1226.4200439453125,0,0.9998244817162475,0.0001755182589491359,2.6467845594285494e-11
2005-08-08,1223.1300048828125,0,0.9997458307819574,0.0002541691528369288,6.369200528773455e-11
2005-08-09,1231.3800048828125,0,0.999718952669383,0.00028104717059680034,1.6024876514926786e-10
2005-08-10,1229.1300048828125,0,0.9996423210008127,0.0003576781613067255,8.396042209920965e-10
2005-08-11,1237.81005859375,0,0.9978326747773478,0.0021673203871615484,4.836872052390207e-09
2005-08-12,1230.3900146484375,0,0.9794527345169015,0.020547232353934047,3.312990895634605e-08
2005-08-15,1233.8699951171875,0,0.8852737186162976,0.11472604282256943,2.385599932301785e-07
2005-08-16,1219.3399658203125,1,0.3211065179531363,0.6788915995742021,1.8824721156547753e-06
2005-08-17,1220.239990234375,1,0.15658800213300017,0.8434073058557754,4.6920099185310675e-06
2005-08-18,1219.02001953125,1,0.07026542530312516,0.9297288823808334,5.69231639749549e-06
2005-08-19,1219.7099609375,1,0.03724942094410312,0.9627444572181749,6.121836907218982e-06
2005-08-22,1221.72998046875,1,0.01969245624653723,0.9803010032247527,6.540530141664184e-06
2005-08-23,1217.5899658203125,1,0.007633384711416374,0.9923593438361116,7.271450703944459e-06
2005-08-24,1209.5899658203125,1,0.0006365130857060937,0.9993552613606164,8.22555387588521e-06
2005-08-25,1212.3699951171875,1,8.121622874900483e-05,0.9999133643964849,5.419375521440065e-06
2005-08-26,1205.0999755859375,1,1.357847384471124e-05,0.9999799180165717,6.5035110853158475e-06
2005-08-29,1212.280029296875,1,3.200324744068055e-05,0.999961917799106,6.0789552671995425e-06
2005-08-30,1208.4100341796875,1,7.803160756124478e-05,0.9999136837070116,8.284684390039092e-06
2005-08-31,1220.3299560546875,1,0.0003437482527193299,0.9996153342317479,4.091751378554075e-05
2005-09-01,1221.5899658203125,1,0.014330802042158124,0.9856527181315046,1.647982730685307e-05
2005-09-02,1218.02001953125,1,0.05703157554500181,0.9429625460820712,5.8783717454698015e-06
2005-09-05,1218.02001953125,1,0.1756033484012802,0.824392425877362,4.225721085750404e-06
